Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,processed_timestamp
87,6.7,3.1,4.7,1.5,Iris-versicolor,2026-04-27 15:14:15.825641
53,6.9,3.1,4.9,1.5,Iris-versicolor,2026-04-27 15:14:15.825641
73,6.3,2.5,4.9,1.5,Iris-versicolor,2026-04-27 15:14:15.825641
120,6.0,2.2,5.0,1.5,Iris-virginica,2026-04-27 15:14:15.825641
134,6.3,2.8,5.1,1.5,Iris-virginica,2026-04-27 15:14:15.825641
86,6.0,3.4,4.5,1.6,Iris-versicolor,2026-04-27 15:14:15.825641
57,6.3,3.3,4.7,1.6,Iris-versicolor,2026-04-27 15:14:15.825641
84,6.0,2.7,5.1,1.6,Iris-versicolor,2026-04-27 15:14:15.825641
130,7.2,3.0,5.8,1.6,Iris-virginica,2026-04-27 15:14:15.825641
107,4.9,2.5,4.5,1.7,Iris-virginica,2026-04-27 15:14:15.825641
78,6.7,3.0,5.0,1.7,Iris-versicolor,2026-04-27 15:14:15.825641
71,5.9,3.2,4.8,1.8,Iris-versicolor,2026-04-27 15:14:15.825641
127,6.2,2.8,4.8,1.8,Iris-virginica,2026-04-27 15:14:15.825641
139,6.0,3.0,4.8,1.8,Iris-virginica,2026-04-27 15:14:15.825641
124,6.3,2.7,4.9,1.8,Iris-virginica,2026-04-27 15:14:15.825641
128,6.1,3.0,4.9,1.8,Iris-virginica,2026-04-27 15:14:15.825641
150,5.9,3.0,5.1,1.8,Iris-virginica,2026-04-27 15:14:15.825641
117,6.5,3.0,5.5,1.8,Iris-virginica,2026-04-27 15:14:15.825641
138,6.4,3.1,5.5,1.8,Iris-virginica,2026-04-27 15:14:15.825641
104,6.3,2.9,5.6,1.8,Iris-virginica,2026-04-27 15:14:15.825641
109,6.7,2.5,5.8,1.8,Iris-virginica,2026-04-27 15:14:15.825641
126,7.2,3.2,6.0,1.8,Iris-virginica,2026-04-27 15:14:15.825641
108,7.3,2.9,6.3,1.8,Iris-virginica,2026-04-27 15:14:15.825641
147,6.3,2.5,5.0,1.9,Iris-virginica,2026-04-27 15:14:15.825641
102,5.8,2.7,5.1,1.9,Iris-virginica,2026-04-27 15:14:15.825641
143,5.8,2.7,5.1,1.9,Iris-virginica,2026-04-27 15:14:15.825641
112,6.4,2.7,5.3,1.9,Iris-virginica,2026-04-27 15:14:15.825641
131,7.4,2.8,6.1,1.9,Iris-virginica,2026-04-27 15:14:15.825641
122,5.6,2.8,4.9,2.0,Iris-virginica,2026-04-27 15:14:15.825641
114,5.7,2.5,5.0,2.0,Iris-virginica,2026-04-27 15:14:15.825641
111,6.5,3.2,5.1,2.0,Iris-virginica,2026-04-27 15:14:15.825641
148,6.5,3.0,5.2,2.0,Iris-virginica,2026-04-27 15:14:15.825641
132,7.9,3.8,6.4,2.0,Iris-virginica,2026-04-27 15:14:15.825641
123,7.7,2.8,6.7,2.0,Iris-virginica,2026-04-27 15:14:15.825641
140,6.9,3.1,5.4,2.1,Iris-virginica,2026-04-27 15:14:15.825641
113,6.8,3.0,5.5,2.1,Iris-virginica,2026-04-27 15:14:15.825641
129,6.4,2.8,5.6,2.1,Iris-virginica,2026-04-27 15:14:15.825641
125,6.7,3.3,5.7,2.1,Iris-virginica,2026-04-27 15:14:15.825641
103,7.1,3.0,5.9,2.1,Iris-virginica,2026-04-27 15:14:15.825641
106,7.6,3.0,6.6,2.1,Iris-virginica,2026-04-27 15:14:15.825641
133,6.4,2.8,5.6,2.2,Iris-virginica,2026-04-27 15:14:15.825641
105,6.5,3.0,5.8,2.2,Iris-virginica,2026-04-27 15:14:15.825641
118,7.7,3.8,6.7,2.2,Iris-virginica,2026-04-27 15:14:15.825641
142,6.9,3.1,5.1,2.3,Iris-virginica,2026-04-27 15:14:15.825641
146,6.7,3.0,5.2,2.3,Iris-virginica,2026-04-27 15:14:15.825641
116,6.4,3.2,5.3,2.3,Iris-virginica,2026-04-27 15:14:15.825641
149,6.2,3.4,5.4,2.3,Iris-virginica,2026-04-27 15:14:15.825641
121,6.9,3.2,5.7,2.3,Iris-virginica,2026-04-27 15:14:15.825641
144,6.8,3.2,5.9,2.3,Iris-virginica,2026-04-27 15:14:15.825641
136,7.7,3.0,6.1,2.3,Iris-virginica,2026-04-27 15:14:15.825641
119,7.7,2.6,6.9,2.3,Iris-virginica,2026-04-27 15:14:15.825641
115,5.8,2.8,5.1,2.4,Iris-virginica,2026-04-27 15:14:15.825641
137,6.3,3.4,5.6,2.4,Iris-virginica,2026-04-27 15:14:15.825641
141,6.7,3.1,5.6,2.4,Iris-virginica,2026-04-27 15:14:15.825641
145,6.7,3.3,5.7,2.5,Iris-virginica,2026-04-27 15:14:15.825641
101,6.3,3.3,6.0,2.5,Iris-virginica,2026-04-27 15:14:15.825641
110,7.2,3.6,6.1,2.5,Iris-virginica,2026-04-27 15:14:15.825641
